Site ID,Date,On Road,Direction,Ref Road,Travel,ADT 2020,AM Hour,AM Volume,PM Hour,PM Volume,2019,2018,2017,2016,,,,,,,,
4940,,117th Ave,N,Pinnacle Peak Rd,B,C,,,,,C,6379,6829,7927,,,,,,,,
4942,,117th Ave,S,Pinnacle Peak Rd,B,C,,,,,C,3916,4947,5755,,,,,,,,
4944,8/3/2020,117th Ave,N,Williams Dr,B,3056,10:15 AM,204,5:00 PM,289,2819,2884,2979,3336,,,,,,,,
7237,8/3/2020,119th Ave,S,Williams Dr,B,1569,6:45 AM,89,5:00 PM,172,1473,1422,1626,1526,,,,,,,,
7235,8/3/2020,120th Ln,N,Williams Dr,B,553,8:45 AM,50,3:00 PM,47,442,408,533,481,,,,,,,,
7236,8/3/2020,121st Ave,S,Williams Dr,B,671,6:15 AM,59,5:15 PM,47,726,579,591,580,,,,,,,,
7234,8/3/2020,123rd Ave,N,Williams Dr,B,1179,7:15 AM,98,5:30 PM,98,1344,1070,1139,912,,,,,,,,
3118,4/8/2020,128th Ave,S ,Beardsley Rd,B ,1781,11:15 AM,198,1:00 PM,165,3514,1333,4117,3685,,,,,,,,
3114,3/16/2020,128th Ave,N ,R H Johnson Blvd,B ,4484,11:00 AM,441,12:30 PM,442,5656,6020,5559,5038,,,,,,,,
7194,4/8/2020,133rd Ave,S,Camino Del Sol,B,395,11:00 AM,58,2:00 PM,39,736,673,577,565,,,,,,,,
7159,11/30/2020,133rd Ave,S,Indian Springs Rd,B,498,10:45 AM,50,2:00 PM,46,430,C,410,515,,,,,,,,
4092,3/18/2020,133rd Ave,N ,R H Johnson Blvd,B ,1003,10:00 AM,120,2:45 PM,99,1464,2095,2151,1300,,,,,,,,
4115,4/7/2020,135th Ave,S ,Deer Valley Dr,B ,6152,10:30 AM,615,12:15 PM,652,10876,11295,12560,11238,,,,,,,,
4118,4/7/2020,135th Ave,N ,Meeker Blvd,B ,4490,11:00 AM,490,12:15 PM,457,7689,8593,8240,7757,,,,,,,,
4780,7/22/2020,144th St,N ,Rio Verde Dr,B ,2252,10:30 AM,187,12:45 PM,185,2417,2362,1969,1969,,,,,,,,
4514,8/5/2020,147th Ave,N,Jomax Rd,B,725,7:15 AM,65,5:00 PM,68,747,670,720,505,,,,,,,,
7183,3/25/2020,147th Dr,N,R H Johnson Blvd,B,1127,11:00 AM,161,12:30 PM,111,2021,1336,1239,1129,,,,,,,,
7144,7/22/2020,150th St,N,Rio Verde Dr,B,264,11:00 AM,31,1:15 PM,31,246,244,226,222,,,,,,,,
4106,4/1/2020,151st Ave,N ,Deer Valley Dr,B ,1199,10:45 AM,124,3:15 PM,118,2125,2260,2181,1863,,,,,,,,
4107,4/1/2020,151st Ave,S ,Deer Valley Dr,B ,3587,10:30 AM,399,12:30 PM,371,6969,7981,6420,5811,,,,,,,,
4103,3/25/2020,151st Ave,N ,R H Johnson Blvd,B ,9,8:45 AM,4,12:45 PM,1,9724,14162,12280,10247,,,,,,,,
4782,7/22/2020,152nd St,N ,Rio Verde Dr,B ,833,10:30 AM,70,4:00 PM,72,761,978,961,768,,,,,,,,
7145,7/22/2020,160th St,N,Rio Verde Dr,B,657,9:00 AM,55,3:15 PM,56,651,601,838,960,,,,,,,,
7240,8/5/2020,163rd Ave,S,Dixileta Dr,B,1553,7:30 AM,133,5:00 PM,132,1610,1449,1466,1353,,,,,,,,
4520,8/5/2020,163rd Ave,S,Dove Valley Rd,B,111,7:15 AM,10,12:30 PM,12,131,96,123,157,,,,,,,,
7146,7/22/2020,172nd St,N,Rio Verde Dr,B,519,7:15 AM,55,12:15 PM,50,429,372,381,528,,,,,,,,
7213,6/24/2020,183rd Ave,S,Olive Ave,B,1822,10:30 AM,124,5:15 PM,147,1497,1596,1380,1384,,,,,,,,
7247,8/10/2020,195th Ave,N,Deer Valley Rd,B,245,7:30 AM,30,1:45 PM,23,177,379,325,212,,,,,,,,
3439,8/10/2020,195th Ave,N ,Happy Valley Rd,B ,346,7:30 AM,31,2:30 PM,29,286,515,306,257,,,,,,,,
7217,6/10/2020,195th Ave,N,Indian School Rd,B,2426,7:15 AM,168,3:45 PM,177,4591,4989,C,4155,,,,,,,,
7216,6/10/2020,195th Ave,N,McDowell Rd,B,9828,11:00 AM,651,4:00 PM,715,9363,9354,7010,6926,,,,,,,,
2929,,195th Ave,N,Thomas Rd,B,C,,,,,7409,7902,8074,5758,,,,,,,,
3448,8/17/2020,203rd Ave,S ,US 60,B ,624,8:15 AM,48,1:45 PM,55,471,807,964,356,,,,,,,,
3260,12/9/2020,207th Ave,N,Beloat Rd,B,147,7:15 AM,14,4:00 PM,20,184,162,171,168,,,,,,,,
4519,8/19/2020,211th Ave,N ,Dove Valley Rd,B ,603,7:30 AM,80,3:30 PM,42,640,720,1102,508,,,,,,,,
4009,8/19/2020,211th Ave,S ,Dove Valley Rd,B ,120,8:15 AM,19,3:45 PM,21,139,109,109,118,,,,,,,,
3447,8/19/2020,211th Ave,S ,US 60,B ,1113,8:15 AM,83,4:30 PM,121,1062,1006,1062,1014,,,,,,,,
4806,7/6/2020,222nd St,N ,Pecos Rd,B ,531,9:15 AM,47,1:45 PM,43,296,202,129,147,,,,,,,,
4516,8/17/2020,299th Ave,N ,Patton Rd,B ,533,7:30 AM,55,3:00 PM,45,539,389,520,475,,,,,,,,
4710,9/16/2020,309th Ave,N,Old US 80,B,349,11:15 AM,28,12:30 PM,36,224,294,416,237,,,,,,,,
7261,9/14/2020,313th Ave,N,Baseline Rd,B,56,11:15 AM,12,3:45 PM,7,99,106,127,161,,,,,,,,
3292,9/21/2020,319th Ave,S,Old US 80,B,96,7:15 AM,8,2:45 PM,8,104,92,107,90,,,,,,,,
